

   Tabela 4.3.13 - Produtos Sujeitos à Alíquota Zero da Contribuição Social
   (CST 06) - Versão 1.35 - Atualizada em 26/06/2026.

|Códig|Descrição do Produto                                   |NCM          |Início de  |Término de   |
|o    |                                                       |             |Escrituraçã|Escrituração |
|     |                                                       |             |o          |Mês/Ano      |
|     |saída por vídeo (monitor), 1 (um) teclado (unidade de  |             |           |             |
|     |entrada), 1 (um) mouse (unidade de entrada),           |             |           |             |
|     |classificados, respectivamente, nos códigos 8471.50.10,|             |           |             |
|     |8471.60.7, 8471.60.52 e 8471.60.53 da TIPI, desde que o|             |           |             |
|     |preço de venda de cada sistema não exceda a R$ 4.000,00|             |           |             |
|     |(dois mil e quinhentos reais)                          |             |           |             |
|403  |Venda a varejo de máquinas automáticas de processamento|             |18/09/2012 |30/11/2015   |
|     |de dados, apresentadas sob a forma de sistemas, do     |             |           |             |
|     |código 8471.49 da Tipi, contendo exclusivamente 1 (uma)|             |           |             |
|     |unidade de processamento digital, 1 (uma) unidade de   |             |           |             |
|     |saída por vídeo (monitor), 1 (um) teclado (unidade de  |             |           |             |
|     |entrada), 1 (um) mouse (unidade de entrada),           |             |           |             |
|     |classificados, respectivamente, nos códigos 8471.50.10,|             |           |             |
|     |8471.60.7, 8471.60.52 e 8471.60.53 da Tipi, desde que o|             |           |             |
